"","year","area","variable","Agua","Emisiones GEI","Emisiones de CO₂","Energía","Materiales","Nitrógeno","Tierras de cultivo","PIB","Población","IDH-A","IDH"
"1",1860,"España","Absoluto",1988395808.37749,30959851.1408805,1930928,9751814.14897028,63581048.6270321,141561589.283097,16674438.7264642,30154216903.1566,15642000,NA,NA
"2",1861,"España","Absoluto",2124708545.42789,31174809.2558308,2004208,9927252.4092297,62212147.3780074,145205420.221681,16780872.7387077,30289727439.9432,15699000,NA,NA
"3",1862,"España","Absoluto",1784524855.48449,31331050.0568284,2187408,9965540.4319434,67271375.9029822,145804962.986331,16886627.3993692,30400186978.8779,15754000,NA,NA
"4",1863,"España","Absoluto",2178154486.4259,30313793.310543,2432896,9943813.75752414,60979134.1005412,147612795.282734,16991702.0116107,30928007519.6961,15809000,NA,NA
"5",1864,"España","Absoluto",2039490865.76553,30783233.1890471,2333968,10099659.7336913,68024513.3808211,148068061.334737,17096108.4088985,30826325852.3557,15864000,NA,NA
"6",1865,"España","Absoluto",2003407844.72683,30842563.4170089,2304656,9905412.8486081,65670502.5929519,149228884.09582,17199832.2987059,29644361951.6877,15920000,NA,NA
"7",1866,"España","Absoluto",1995849541.24684,31738071.0158585,2290000,9697245.40809307,64472240.7078287,151415134.307051,17302890.0363275,31543852003.4489,15976000,NA,NA
"8",1867,"España","Absoluto",2169461471.71348,31077347.140501,2557472,9820577.64081178,63193827.6429263,152292811.775807,17405269.1618075,31161699288.2407,16032000,NA,NA
"9",1868,"España","Absoluto",2278970415.45429,31210243.9882364,2660064,9741627.35465687,64674651.3134583,148164141.250985,17506972.3044593,27329771597.079,16088000,NA,NA
"10",1869,"España","Absoluto",2448156255.16109,29758634.1635,2638080,9809976.44661809,64336097.3920771,150851169.553427,17607998.574851,28379990090.5724,16144000,NA,NA
"11",1870,"España","Absoluto",2201534522.99284,30469864.3353472,3074096,10061368.6753458,65571355.6661331,154621978.998467,17708351.887746,29266398666.8937,16201000,NA,NA
"12",1871,"España","Absoluto",2014889615.84911,30143089.2050448,2938528,10018318.3984176,68109418.2270851,157200602.635877,17808031.36107,31628758033.641,16258000,NA,NA
"13",1872,"España","Absoluto",1968310645.8325,30598899.6871994,3260960,9775112.60303045,66905851.3043613,153954477.902828,17907036.6507716,36593980203.0251,16315000,NA,NA
"14",1873,"España","Absoluto",2437145844.98435,29845314.1126305,3136384,10064097.916243,62692048.6447211,157593231.904967,18005367.6259183,39684198937.625,16372000,NA,NA
"15",1874,"España","Absoluto",2196034415.86352,31174259.7717284,3118064,9790817.39754597,68347840.8445625,156764870.748957,18103034.4682188,36356201086.6428,16429000,NA,NA
"16",1875,"España","Absoluto",2373723578.93971,30489284.2121949,3290272,9908865.22314948,65870255.6903049,158608603.182636,18200023.8641583,37489015920.4115,16487000,NA,NA
"17",1876,"España","Absoluto",2394810951.58537,31803277.2755074,3568736,9975630.46519931,65778760.9641515,162991146.777468,18296337.1434859,38768253664.3356,16545000,NA,NA
"18",1877,"España","Absoluto",2353825062.17562,30459683.7995023,3781248,9969151.17929985,69442146.8991446,161105097.527128,18391979.3720321,43138791099.2919,16603000,NA,NA
"19",1878,"España","Absoluto",2827166802.16105,28386166.8741708,3755600,10051070.6064882,65740623.2762519,162668913.327875,18487020.0628539,41559418871.6266,16677000,NA,NA
"20",1879,"España","Absoluto",2293817896.52423,29050748.4718967,3971776,10003758.7913363,69903460.7190055,165024478.864657,18581392.7290492,38793104172.0099,16768000,NA,NA
"21",1880,"España","Absoluto",2468331580.11821,29988144.378845,4415120,10312398.8604898,67364758.3753913,169429612.484865,18675089.5427852,42435377389.2619,16859000,NA,NA
"22",1881,"España","Absoluto",2210177470.22605,31667671.0271377,4931744,10431099.3234983,72685044.9633411,166508061.97748,18730092.1349844,42965845115.6871,16951000,NA,NA
"23",1882,"España","Absoluto",2489515165.29301,29856140.3792778,5382416,10463474.6120219,66306559.0876438,165434647.972911,18785231.0345295,43362369049.6654,17043000,NA,NA
"24",1883,"España","Absoluto",2603660703.74582,29462620.924203,5902704,10412226.524568,69078078.7012609,169053533.856532,18840478.134255,44208105067.3774,17136000,NA,NA
"25",1884,"España","Absoluto",1894147532.76781,29517185.1101237,5869728,10506061.2695779,74746436.4673828,171063978.976455,18896030.9029295,44575640722.7506,17230000,NA,NA
"26",1885,"España","Absoluto",2023471147.38212,27548286.8327044,5759808,10457887.1364382,70260077.6555561,170309706.63349,18951879.9228581,43139385254.7874,17323000,NA,NA
"27",1886,"España","Absoluto",2298785608.69652,27756765.7426541,6093232,10495939.0187407,66807717.9042762,169362001.030527,19017294.7909292,42361416586.4258,17418000,NA,NA
"28",1887,"España","Absoluto",2420176970.69168,28456620.2051003,6140864,10763358.6581759,71553107.5753044,174533100.419164,19062921.2003296,41653720693.9367,17513000,NA,NA
"29",1888,"España","Absoluto",2164824086.50779,28899601.9593499,6433984,10883860.4921,72620906.5723719,176543017.835114,19108485.1300086,43509328979.3048,17600000,NA,NA
"30",1889,"España","Absoluto",2293567953.92356,28860620.6188324,6822368,10953498.6979824,69895723.8512789,173212205.454046,19041984.4550608,43591354771.8902,17678000,NA,NA
"31",1890,"España","Absoluto",2214963207.0934,30356069.607508,7338992,11060895.0823642,68518443.4749631,171991250.498492,18951628.1723994,43675419274.706,17757000,NA,NA
"32",1891,"España","Absoluto",2143162658.1912,30837100.929793,7939888,11045837.1705789,65796766.054916,171516127.395617,18901964.9511998,44698187035.2228,17836000,NA,NA
"33",1892,"España","Absoluto",2166504997.02902,30862669.7729193,8298960,11404132.5266212,70590750.3725966,169269935.399996,18848180.4787141,48673070710.0527,17916000,NA,NA
"34",1893,"España","Absoluto",2743941375.61538,30459941.0096137,8119424,10944719.3459501,68809632.8147542,171643644.58001,18796693.3676619,46783538987.5385,17996000,NA,NA
"35",1894,"España","Absoluto",2456081239.38312,30061556.5256142,8734976,11209205.2768414,71235039.1536228,172781301.865139,18753615.4923526,47526632420.0192,18076000,NA,NA
"36",1895,"España","Absoluto",2126476910.71502,31481951.5927271,8603072,11447114.0814292,69254239.4235688,172550030.633704,18709390.1463838,46932795269.7955,18157000,NA,NA
"37",1896,"España","Absoluto",2606748541.16654,29272011.3789438,9302896,11422172.192782,63754422.1741815,169286933.804228,18669934.9233821,42460983332.5233,18238000,NA,NA
"38",1897,"España","Absoluto",2590728964.24867,33435836.7910943,9544720,11450986.3866449,68819630.6417706,183252398.64851,18956579.3298469,45175249517.4771,18320000,NA,NA
"39",1898,"España","Absoluto",2617411922.9626,30413739.1472147,9372512,11569140.1832978,74248640.3966359,185930183.946316,19001945.7895826,48295529007.7839,18402000,NA,NA
"40",1899,"España","Absoluto",2900930814.3479,33134931.4373921,10625600,11769895.3237619,72706916.196503,182467852.414005,18745710.9459419,48661693207.6487,18484000,NA,NA
"41",1900,"España","Absoluto",2587528899.05983,31629130.156784,11219168,12164068.4011785,73951115.7163052,179363416.929073,18653444.7797836,49615602545.408,18566000,NA,NA
"42",1901,"España","Absoluto",2652526136.47879,30123138.2880877,11805408,12685653.4658386,81702280.5000629,181563003.881873,18642959.7232447,53765016474.9493,18659000,NA,NA
"43",1902,"España","Absoluto",2551071070.41175,32174709.4875217,12336688,12696750.3600529,78337780.3543637,187855314.280795,18986958.3626419,51405966316.7992,18788000,NA,NA
"44",1903,"España","Absoluto",2924595753.20923,29789118.7689741,12175472,12638468.0608803,77595290.4538269,180121973.13918,18754806.0009169,51248051878.9821,18919000,NA,NA
"45",1904,"España","Absoluto",3020382342.07869,31747090.4381626,12992544,12721769.2444851,75110440.7538906,177994857.176115,18579508.0331828,50617353180.238,19050000,NA,NA
"46",1905,"España","Absoluto",3224093386.89364,32742264.4177577,13571456,13123386.9786014,77245736.2955344,175003556.444378,18347013.013599,50106904186.4579,19133000,NA,NA
"47",1906,"España","Absoluto",2913910142.71772,34259206.8471962,13860912,13249788.2336122,81666589.3394913,192648998.544501,19252505.5089673,53523444395.0879,19316000,NA,NA
"48",1907,"España","Absoluto",3428869673.4282,37465436.9791353,14095408,13372247.8760438,79795302.0874701,184231526.10506,19024722.9530507,54929883426.7553,19450000,NA,NA
"49",1908,"España","Absoluto",2857948561.50124,34126674.1121833,14784240,13071065.6999139,81990258.096686,192114388.427645,19082435.8973467,57047128636.5387,19585000,NA,NA
"50",1909,"España","Absoluto",3115936726.76375,33700567.6155546,15165296,13464437.5523827,84289042.199374,197012508.913018,18980173.5331265,58655314971.7456,19721000,NA,NA
"51",1910,"España","Absoluto",2892547807.10397,34580060.4068525,14894160,13622441.8637043,80454578.7583625,197609412.893856,18894196.0702891,55984922512.4711,19858000,NA,NA
"52",1911,"España","Absoluto",2988086367.32607,34856863.9767539,14729280,13930678.2008068,87911828.4013923,205894168.372653,19366097.3079979,60455090182.4519,19994000,NA,NA
"53",1912,"España","Absoluto",3263860110.90714,33557587.8074889,15982368,14322891.3591366,79115848.0954799,198346234.298845,19007552.0086264,58594253375.0363,20128000,NA,NA
"54",1913,"España","Absoluto",3241527975.1592,42221566.13785,17418656,14490392.2143158,83264068.570774,201203084.555593,19441822.1509385,62071839740.7558,20263000,NA,NA
"55",1914,"España","Absoluto",3032324354.04382,36946000.2735987,17301408,14318517.2540912,82583257.4802573,199801873.242315,19057754.7869817,60341253475.9347,20398000,NA,NA
"56",1915,"España","Absoluto",2795880655.93075,34479716.3345769,15311856,13833774.3971239,84410679.4985554,200351410.254154,19698899.0648808,60959899339.7614,20535000,NA,NA
