"year","area","indicador","variable","valor","unidad","variable_unidad","indicador_unidad"
1860,"España","Agua","Absoluto",1988395808.37749,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1861,"España","Agua","Absoluto",2124708545.42789,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1862,"España","Agua","Absoluto",1784524855.48449,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1863,"España","Agua","Absoluto",2178154486.4259,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1864,"España","Agua","Absoluto",2039490865.76553,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1865,"España","Agua","Absoluto",2003407844.72683,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1866,"España","Agua","Absoluto",1995849541.24684,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1867,"España","Agua","Absoluto",2169461471.71348,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1868,"España","Agua","Absoluto",2278970415.45429,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1869,"España","Agua","Absoluto",2448156255.16109,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1870,"España","Agua","Absoluto",2201534522.99284,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1871,"España","Agua","Absoluto",2014889615.84911,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1872,"España","Agua","Absoluto",1968310645.8325,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1873,"España","Agua","Absoluto",2437145844.98435,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1874,"España","Agua","Absoluto",2196034415.86352,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1875,"España","Agua","Absoluto",2373723578.93971,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1876,"España","Agua","Absoluto",2394810951.58537,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1877,"España","Agua","Absoluto",2353825062.17562,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1878,"España","Agua","Absoluto",2827166802.16105,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1879,"España","Agua","Absoluto",2293817896.52423,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1880,"España","Agua","Absoluto",2468331580.11821,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1881,"España","Agua","Absoluto",2210177470.22605,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1882,"España","Agua","Absoluto",2489515165.29301,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1883,"España","Agua","Absoluto",2603660703.74582,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1884,"España","Agua","Absoluto",1894147532.76781,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1885,"España","Agua","Absoluto",2023471147.38212,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1886,"España","Agua","Absoluto",2298785608.69652,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1887,"España","Agua","Absoluto",2420176970.69168,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1888,"España","Agua","Absoluto",2164824086.50779,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1889,"España","Agua","Absoluto",2293567953.92356,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1890,"España","Agua","Absoluto",2214963207.0934,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1891,"España","Agua","Absoluto",2143162658.1912,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1892,"España","Agua","Absoluto",2166504997.02902,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1893,"España","Agua","Absoluto",2743941375.61538,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1894,"España","Agua","Absoluto",2456081239.38312,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1895,"España","Agua","Absoluto",2126476910.71502,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1896,"España","Agua","Absoluto",2606748541.16654,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1897,"España","Agua","Absoluto",2590728964.24867,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1898,"España","Agua","Absoluto",2617411922.9626,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1899,"España","Agua","Absoluto",2900930814.3479,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1900,"España","Agua","Absoluto",2587528899.05983,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
